Model,Approach,Score,level,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3,a11,a12,a13,b1,a21,a22,a23,b2,a31,a32,a33,b3
Binomial,RS,0.9,Technical,0.29272274037613544,0.45951513219455936,0.41305730996791645,0.3621771468938585,0.3420973892876892,0.415819664340467,0.4224048016867252,0.34499703126661957,0.340375880416875,0.44119159877215797,0.37855858964852585,0.3390264253625953,0.28435601810828354,0.4404147236537756,0.4188551599235713,0.37476590058144793,0.3584102147500932,0.389109312452959,0.4260538332401051,0.3374135148537837,0.359049035794271,0.4364606217860245,0.3674963719661581,0.3365500073629318,0.3223497271947361,0.4298658124971992,0.4030866790315877,0.36548551872761215,0.3540296987096491,0.38784703948625904,0.42929193950199396,0.3568672798922696,0.3313886038819369,0.421059378277737,0.37484849627671474,0.3639753834654427,0.3049791577088875,0.43662353005207877,0.4039256328599236,0.37969932506180326,0.3338478794188624,0.3730075663036517,0.4792432667040359,0.34077749305489385,0.33434035709667764,0.44095837622461703,0.36475822182528744,0.36620886670898917,0.2880601702662934,0.4597090279598283,0.4105987716168451,0.3612821051567715,0.3841696335316468,0.42243088154480113,0.41179676879721316,0.332058221013957,0.3548374994809899,0.42273601728622595,0.37977087194663434,0.342830389047309,0.325059019116664,0.47009350057619503,0.38738250431712706,0.3628168593657032,0.3768428550976968,0.38728661864448233,0.40322837117140375,0.35309036114033615,0.30603849493778107,0.4302456770752895,0.3704893285646095,0.3704081157028301,0.29844267682315784,0.4526560726084133,0.4092256496584315,0.36387877635937443,0.34286182341943033,0.41033489823011327,0.4276781567651466,0.3515486446304264,0.3414137374055836,0.43535339951145685,0.3687849175203228,0.34538593368620263,0.29936817082962475,0.43810219484284507,0.398811588312688,0.37797989226490963,0.3128537912752892,0.3722517344994667,0.4598651955103645,0.3663613040956479,0.346222974794928,0.42310317862800123,0.3851833612504286,0.3196935941468576,0.3213865465329749,0.43641773111835214,0.41921099339955725,0.35766823126318864,0.3648684139540459,0.39503447532802777,0.4056439577730556,0.3543351210391691,0.3200500167305305,0.42792265186808814,0.3808916085741492,0.3767359582678969,0.3006164661126502,0.45885459628854847,0.4035140900065315,0.3721806189334117,0.330651150785445,0.3844109702863311,0.4382303067235489,0.3451966035324559,0.34023560600969194,0.4417097246093693,0.39722417525130105,0.3184141687345484
Binomial,RS,0.8,Technical,0.33780955674937463,0.4338767148571569,0.37913862375686275,0.3119707281867669,0.32721577200900354,0.3961833466005099,0.3677401325358252,0.35163587117660855,0.36498813517067263,0.42788746254530013,0.33625111305458066,0.30104251979524277,0.32059270036254,0.4151394560155989,0.3803761405516996,0.33901253654404256,0.33191865173025265,0.3998792196833036,0.36499721175823185,0.3342106533855304,0.3811394936578076,0.4119995846383889,0.3501469056817576,0.2869111860617743,0.338860496557651,0.42243766551675543,0.370564932180354,0.3262164334600926,0.3363587174658054,0.39804983120549803,0.3751493611907165,0.32799117496807784,0.3624195919009412,0.3973561614652731,0.3503530194298594,0.31478296981882564,0.3446747001527744,0.4140585870033574,0.35421539615768416,0.34463714285003044,0.3359246790398824,0.3922834557419703,0.3768856041200001,0.33856793949867114,0.37244025574836165,0.4030065823596902,0.3524879868633345,0.311396222502567,0.32709159210746636,0.42925166514178054,0.37387138571196715,0.32670427021947934,0.3479160840377281,0.4173988092643941,0.37944864968967934,0.32895301861123855,0.36212065106921243,0.38189323447152557,0.36014151865368765,0.32070384003728974,0.36727354013034874,0.4285456342713162,0.3648977882321532,0.3160410795595091,0.3492319292120698,0.37486814851847516,0.3672160879070121,0.3437331158943459,0.3471081877055635,0.40344071734835363,0.35245733873921087,0.31373496963081915,0.333001114053701,0.43494388549368235,0.36711000415931616,0.3248131332003713,0.32689180619650726,0.40472902840265723,0.38829009164747147,0.32692023735475595,0.3861859332623687,0.41513997241080586,0.3212383432740929,0.29391826596104303,0.32623859456932247,0.427234923089895,0.3585028425201747,0.3391057765522344,0.32450806133101023,0.36291350949019147,0.3873780105323168,0.3736773436561784,0.37606848267427184,0.4019728401992128,0.33073859372326603,0.3070417368984719,0.35488486756751897,0.41563367903644854,0.3769353942238153,0.3206614918071946,0.34120166056897494,0.39008905031262003,0.3790045842635757,0.32433169867134054,0.37573752759244083,0.40928504825786177,0.3394652578983479,0.3084365957187067,0.33704081021019155,0.42996964364807605,0.3762860718255282,0.3236392915014562,0.3462294566825954,0.3516959994859944,0.38549026284453136,0.33667387283770644,0.36450285586876185,0.4055891565295911,0.3735005925772114,0.28696178947401557
Binomial,RS,0.7,Technical,0.3533995968428925,0.40609427699518874,0.3142634546286277,0.2772697697627648,0.37619604239469817,0.3667122802062436,0.3606344677542822,0.2555149042515835,0.40426657697918544,0.3517200428932985,0.2945534288502986,0.27546530320732465,0.3505158153250126,0.39228021515114114,0.33186009974299663,0.2840501511762878,0.3718192240094318,0.3469812436901384,0.362571542614544,0.2700846923382874,0.4286503359721111,0.3484453330526034,0.29336756830947186,0.26772358966114174,0.36293046969532267,0.39522501191605985,0.3214180987883469,0.26924898289400007,0.35904310851092935,0.3523111988594205,0.37766403599778336,0.26365575507410666,0.39386385562501414,0.3279113777583032,0.29995304432636083,0.30924944403212595,0.3449989206899858,0.39623073358874417,0.32005633912980985,0.2875220633388059,0.3451620711262793,0.3632303486300468,0.37244439884304376,0.2841910461554003,0.39870388004058577,0.33273459839808844,0.3084880418967869,0.3030604197126853,0.35045633608927446,0.40979991732036947,0.3210351886720831,0.26556362203401707,0.368524680882165,0.384732842369539,0.3708277874410351,0.2454308370527999,0.4207130959771579,0.33532391664000893,0.28790513556512914,0.28270744628811184,0.36604166074050254,0.4005692243777168,0.32032563571636313,0.26723370713131245,0.3872189597852874,0.35494356863973753,0.3400642245161648,0.2759052813575822,0.39864155682097524,0.32372008515787315,0.30723084555616487,0.290020262864372,0.3519467520382195,0.40874665767059853,0.3190260884423418,0.2724409589184276,0.3408365394154715,0.3797051422108275,0.38699958216856023,0.2501868262520398,0.40071889376398917,0.329059878114392,0.28601373746167763,0.305447277148786,0.3520500009143797,0.4021611767948082,0.30757486632310393,0.28231850317631985,0.3583838529847156,0.3433455024266056,0.3785548418915948,0.2905108098703186,0.38097299093060666,0.3552731943956901,0.27017096036183225,0.3186328619391383,0.3638457772551447,0.39833313579929447,0.32971098025260376,0.264634179655005,0.3745907597712769,0.35458908330744293,0.3676899473445014,0.25749201438623015,0.4169791758646268,0.319784755474624,0.2874899360896894,0.30498059377833814,0.3578305952862652,0.3979704671403344,0.3209222151869954,0.28071090602223614,0.3889967121006975,0.30832217613822444,0.3759716059190228,0.267932360832706,0.39861723393067305,0.3310874217430395,0.3220931821029992,0.2837859335721209
Binomial,RS,0.6,Technical,0.3545293308027175,0.41183277699892185,0.3049002948479573,0.2452153532194931,0.3816301158859626,0.33792199019942937,0.35624478976441093,0.25816218156008713,0.39393095232769787,0.32065423341291716,0.2948884569032805,0.2847162376483066,0.33820589501426507,0.3982459597050088,0.3177631552207268,0.27462247418824337,0.3751354665274699,0.3491679493429651,0.39273226405170253,0.2114631081813695,0.37459068867625456,0.36896332243837254,0.2963082614531507,0.27148877018904055,0.3526281712220256,0.4023489022271289,0.30804114999204224,0.25193381447855084,0.3660086542609089,0.34104921190338283,0.3805661541832126,0.2438269583614073,0.3679846614985761,0.3266747001231718,0.294609739730631,0.3056838703768717,0.3456001394865378,0.38959346527033556,0.3065572643661048,0.2746310464477307,0.361846664657807,0.34277654887347897,0.38987372831540196,0.24352976271202106,0.37591215678579804,0.31084685029479836,0.31238097430851575,0.3080436533346907,0.3454101377085839,0.409101106910497,0.30493274040123414,0.2557683347145955,0.40117735257263176,0.34777159193510615,0.37897289189608885,0.22199224718373087,0.3703141845615507,0.3226796342874887,0.3045912342224431,0.3037811079407427,0.34642957992119544,0.40884346992195963,0.30263633240608134,0.2580918436242925,0.40336908959258044,0.3410624226891093,0.3497175899552106,0.24172250618075838,0.388651180853707,0.30289704854847366,0.30518263845638316,0.2871821793442732,0.3475139294989749,0.4098657624113186,0.2991561595383943,0.2597012190745328,0.3754278915481249,0.35517946577531606,0.35678482567224545,0.2527188700699807,0.3703051999290346,0.34095168336143133,0.2880919168484129,0.2907971234219365,0.34787336716892225,0.40100391896362797,0.2863862703989698,0.27579207419819235,0.3659009400737769,0.3314438947522771,0.378370145123909,0.2711247895004955,0.38370160255515634,0.32247624311824213,0.2794796416228541,0.30519139133209383,0.3558060761345101,0.40179838620124225,0.314270231625296,0.24988637684118803,0.3798460683090697,0.3347203247534919,0.3624920289066444,0.257911018157049,0.399306551990237,0.29504784302748405,0.29989311842314037,0.3038465040492939,0.33868181039416684,0.41339516670758564,0.30625071757073247,0.2641021083418528,0.3966310060607206,0.29465424285241565,0.3774057787375715,0.24829139650452475,0.3916891456397241,0.3043356840322802,0.31678597867425085,0.29275843508996224
Binomial,PE,0.9,Technical,-0.9853782855762384,1.4443756220352795,0.8565029783818173,0.40888013299967346,-0.5515856734153852,1.0152096786768057,0.8346952812534053,0.4806285494630332,-0.43012211030785097,0.8871548576250624,0.6701834175012226,0.607756392417645,-1.0996816787405665,1.487621990837934,0.8554227987377998,0.4907211832640176,-0.5733571876175192,1.0280321936120305,0.8765481518560597,0.43539543755942844,-0.44971280570832106,0.9123018944300292,0.6476238826610354,0.6315528876954652,-0.957974583990823,1.424682177513792,0.8097196429435457,0.4504579270406359,-0.6011243728952633,1.0360581062106016,0.897267976164052,0.44363236186853094,-0.48771454307418,0.8551214301842782,0.674734903632996,0.6930073505557102,-0.8865124852837807,1.3220648068276126,0.7803400394118403,0.5109487191100394,-0.655578566443324,1.0119745948086158,0.938124883139809,0.4845953037217123,-0.5330080073282139,0.8798749234499375,0.7120432883605178,0.6908338557218646,-0.9129194779255834,1.3778123472293773,0.8439613495898549,0.4121009017351321,-0.5545909449710145,1.034331595045936,0.8857556137172917,0.4209482376242152,-0.4369240618507703,0.8280595368117256,0.6951779843703688,0.6477122445914493,-0.8310313258276286,1.3725585896430068,0.7504331872055942,0.4461919408949974,-0.5150129201381503,1.005336227872122,0.8267527014424421,0.4581285619712096,-0.44396849922754134,0.8313919839538619,0.6510916712917038,0.6791314937604512,-0.9763921896378628,1.4342156335523748,0.8299643572822952,0.4386165322165813,-0.7492978654779872,1.1722058483431317,0.8921246406568755,0.4744365847215177,-0.4557278411623164,0.8723896994322342,0.65503283817438,0.656234731171715,-0.9585022407098618,1.4210215980699585,0.7764540683874668,0.48099418577020053,-0.7279228880585864,1.0689285558241766,0.993594918439416,0.44387692454383115,-0.38930797532528494,0.7965376619990427,0.7208804215972231,0.5828192963404615,-0.861936945111825,1.3288172444218684,0.818041147139692,0.450144791703794,-0.5760848729138489,1.0411361954374803,0.8660073226664262,0.4379852250686231,-0.5275150063374643,0.9084431739359572,0.6043294983922016,0.7687294261677805,-0.9599701442765309,1.4253217755587748,0.8016673946492402,0.4655352841364522,-0.5492349574784073,0.9573811719088086,0.9019617152453389,0.4401781100184106,-0.44205725820179925,0.8354320172878307,0.7370742971242521,0.6132170182919531
Binomial,PE,0.8,Technical,-0.6839384928549019,1.1684191329428455,0.8595843075515436,0.32207637009461393,-0.4620623937928361,0.9687266981263638,0.7432484063521643,0.471797406011654,-0.24309466984305725,0.737718359848336,0.7052989861993347,0.4717317896305711,-0.7846996522083319,1.1952732798706796,0.8739591346164435,0.3955059428881812,-0.5020195524655098,1.0119883730477084,0.7968994375130639,0.4021515812277797,-0.19995551868232045,0.7450516082296166,0.6926397790734318,0.43642255485262704,-0.630208194317485,1.1257787546526408,0.8035261122440814,0.36787505470616677,-0.5108738413037681,0.9827610056511502,0.806743324402592,0.43807207220370464,-0.2851219747570235,0.719200841252165,0.6729633834558418,0.5651830225069061,-0.6220031440840735,1.0891547758205458,0.7392195175717697,0.46375551218512634,-0.5637979197609082,0.9824974002434713,0.8401240739674847,0.4670919724204754,-0.29191098001660615,0.6954682722326719,0.728902499235037,0.5542858985873185,-0.6422128297733486,1.1320708377076893,0.8135627290748728,0.3601846638055356,-0.46251251994383097,1.0008310354085166,0.8024834423950006,0.39113672487721896,-0.2450534977900916,0.6821026164606769,0.7059618511803267,0.5285574418046033,-0.5664098216867083,1.132458349837204,0.7631382312005551,0.34747605493031636,-0.4219749758149026,0.9607789343143099,0.7092508730559975,0.4728631977179573,-0.23486463598888283,0.6757589675185475,0.7068894261499703,0.5093116664168311,-0.6713654512476365,1.1558483133373731,0.8213935824832712,0.3623567563262715,-0.6249968933501876,1.1066763597856315,0.8031771344186969,0.45214690949804714,-0.24843123724902863,0.7151359086973579,0.6733756323203488,0.5232963669495186,-0.6514042097645445,1.1419137061860574,0.7606002042835311,0.410575180537406,-0.6027523743575876,0.9773632878999203,0.8789160227886991,0.48065801188641694,-0.2709565933418388,0.7283376195397934,0.6407316182835127,0.559972213099142,-0.5510670244652985,1.0470139549076476,0.8151363423296879,0.36191623995107075,-0.48518485376279746,0.997349936176047,0.7742380286826684,0.4260818591378804,-0.30258976159368656,0.7415499037987593,0.6338631135305258,0.6098657096095963,-0.639933728736349,1.1298408501565598,0.7933639376712837,0.3893921766546331,-0.4091034680102869,0.8574969919686989,0.7770595901088378,0.4654845313990457,-0.22253192705963526,0.6859869476951503,0.7514966780061387,0.4624391636940763
Binomial,PE,0.7,Technical,-0.5274164687418824,1.0470580822558153,0.7370649326067703,0.31101131950444566,-0.3079054049122595,0.8024480670128264,0.7597021953645742,0.3603772324524721,-0.013865729594161602,0.4734379961266968,0.6596389250158817,0.4517368628992742,-0.6013770207619655,1.0683277595948724,0.7593668807901968,0.36529230485791914,-0.2926148451661397,0.831289068726934,0.777080071914907,0.2856543046198709,0.015122219829617164,0.5083205112358384,0.6547829091054678,0.4004606809992463,-0.5060526520977568,1.0355437340410891,0.7053239316412302,0.3316912052592708,-0.3573273097743278,0.8103210595855842,0.8160748785171663,0.3377279119648313,-0.042443694934811205,0.461814141159394,0.6347140001611147,0.520117347984807,-0.5099447361231191,0.9853292654636804,0.6791913365346054,0.42224156323704737,-0.42122732854377687,0.8102045033935062,0.8477243626986387,0.39091725773591485,-0.09444035134080891,0.4401246073172805,0.6669963183144767,0.581552640682198,-0.5302488595921007,1.0597938412642312,0.6978499608533772,0.3378097934022454,-0.29206180026213463,0.8040312703471353,0.8005950031239784,0.30059469517095394,0.016864676200520925,0.4203412020104666,0.650966289415482,0.48356910964074323,-0.5326537597383298,1.1201580283657238,0.6766757011026224,0.3061240737818802,-0.25422514658977907,0.7836270040643611,0.7170813175309779,0.36825514936560183,0.008458382208286484,0.4306903721916581,0.6361409676880394,0.4823427618539228,-0.5579795179373879,1.0762360379001115,0.7115005089313428,0.3409030614959786,-0.4686272170010805,0.9432485508269117,0.7978998709205318,0.3611634488788727,0.008054505797114716,0.43992687663883895,0.6220443613327337,0.4923759734893736,-0.4988984421136737,1.0256837246802148,0.6269691804814368,0.4107375458092176,-0.43717302046179324,0.8335686555081104,0.874479159377434,0.37177014621876553,-0.06721146871929423,0.4841560652916004,0.6123890915907009,0.5455476753785888,-0.42821832446326236,0.957198952397792,0.7138456471577033,0.3297080567379416,-0.34766489185898697,0.8153466969279941,0.8014206996194383,0.34098956191437185,-0.022678717917402138,0.43428401881148665,0.6212824857754178,0.5433570650979389,-0.5387151930318428,1.0583921140881303,0.6902878432630345,0.3645013476184641,-0.21818563086625867,0.6255953618743924,0.7723196014704994,0.4108729666541236,0.030922015778928575,0.41596657340306487,0.6843383968178871,0.4469401449512527
Binomial,PE,0.6,Technical,-0.5173937173589727,1.0523551229339556,0.714505750735782,0.2869729812563944,-0.3265845753211936,0.8003377178815356,0.8293517393449457,0.2832257357062313,-0.08639946974504185,0.4448948014431408,0.6981541674814667,0.4999134409199105,-0.609085999033444,1.073229761802261,0.7618554270235652,0.34269572049923397,-0.327790156753132,0.8377772558469766,0.8640209326714461,0.19888215342769486,-0.030457149038988825,0.4993130095781683,0.6751950106642886,0.416329868901091,-0.4927163851840736,1.0274544110052375,0.6849060073954347,0.31475742774846577,-0.3696417234881453,0.8077499076862442,0.8872360480437106,0.24981276909793176,-0.09950304760123949,0.4270726616272457,0.6850651270381054,0.5453751847262759,-0.5491614663163565,1.0223108785219588,0.6676275863871389,0.4085500904516813,-0.4341211307894679,0.8011002106671972,0.9145376381408297,0.31840201008538854,-0.13768881568450267,0.4047127623798898,0.7071174081851639,0.6031140139892364,-0.5519292066991798,1.0798596720444116,0.6960257761510136,0.31021326131991794,-0.24085904831412494,0.7272735206042391,0.8502108655994586,0.24433765907488952,-0.018336564782319223,0.38240033285456887,0.6797560386527592,0.507513056292968,-0.5440464584726937,1.119260896733377,0.6695255566604923,0.2907006663201902,-0.261943602990401,0.7891674954209857,0.7826865295019098,0.2758261363022048,-0.025417870795655075,0.3618848796009048,0.667564035633956,0.5315149094211782,-0.5758342263782258,1.1015731745048345,0.6899138396491967,0.3243732513273723,-0.44043591893353945,0.9295825978459126,0.828856807897932,0.28794133005512684,-0.04979282261148982,0.4142621005926551,0.6641405140366077,0.5171553013450436,-0.5087694692103384,1.0348232067163354,0.6017441443855024,0.405721532687983,-0.4684708549885886,0.8346378278626824,0.9541386052487076,0.2949314451765215,-0.13246524482709995,0.4538570033233994,0.6297376204011799,0.6078246141349012,-0.45570470247976425,0.9847624347198793,0.6989772888205845,0.31334232196054523,-0.35897607701257483,0.8217716069428379,0.8640645524738014,0.2541790448533838,-0.04040761307928398,0.3636232028116845,0.6799827491772794,0.5561695487101883,-0.5784024610872724,1.0972181860818704,0.6765889631826891,0.3481503456603287,-0.21646980540237262,0.6423575817696585,0.7948673951395299,0.3466282591197432,7.785050396408977E-4,0.37428729265026006,0.7102511408972223,0.47192080504027345
